Algorithm,ArraySize,ValueRange,ExecutionTime_us,MemoryUsed_bytes,Distribution,EdgeCase
Spread Sort,1000,100,260,4000,concentrated,false
Counting Sort (Non-Stable),1000,500,13,2004,uniform,false
Counting Sort (Stable),1000,500,6,6004,uniform,false
Radix Sort (LSD),1000,500,254,8000,uniform,false
Bucket Sort,1000,500,282,8000,uniform,false
Flash Sort,1000,500,241,8000,uniform,false
Spread Sort,1000,500,261,4000,uniform,false
Counting Sort (Non-Stable),1000,500,11,2004,normal,false
Counting Sort (Stable),1000,500,6,6004,normal,false
Radix Sort (LSD),1000,500,255,8000,normal,false
Bucket Sort,1000,500,243,8000,normal,false
Flash Sort,1000,500,245,8000,normal,false
Spread Sort,1000,500,259,4000,normal,false
Counting Sort (Non-Stable),1000,500,13,2004,skewed,false
Counting Sort (Stable),1000,500,6,6004,skewed,false
Radix Sort (LSD),1000,500,260,8000,skewed,false
Bucket Sort,1000,500,266,8000,skewed,false
Flash Sort,1000,500,237,8000,skewed,false
Spread Sort,1000,500,257,4000,skewed,false
Counting Sort (Non-Stable),1000,500,5,2004,concentrated,false
Counting Sort (Stable),1000,500,6,6004,concentrated,false
Radix Sort (LSD),1000,500,248,8000,concentrated,false
Bucket Sort,1000,500,126,8000,concentrated,false
Flash Sort,1000,500,180,8000,concentrated,false
Spread Sort,1000,500,259,4000,concentrated,false
Counting Sort (Non-Stable),1000,1000,18,4004,uniform,false
Counting Sort (Stable),1000,1000,6,8004,uniform,false
Radix Sort (LSD),1000,1000,375,8000,uniform,false
Bucket Sort,1000,1000,308,8000,uniform,false
Flash Sort,1000,1000,251,8000,uniform,false
Spread Sort,1000,1000,366,4000,uniform,false
Counting Sort (Non-Stable),1000,1000,15,3848,normal,false
Counting Sort (Stable),1000,1000,7,7848,normal,false
Radix Sort (LSD),1000,1000,247,8000,normal,false
Bucket Sort,1000,1000,280,8000,normal,false
Flash Sort,1000,1000,219,8000,normal,false
Spread Sort,1000,1000,276,4000,normal,false
Counting Sort (Non-Stable),1000,1000,18,4000,skewed,false
Counting Sort (Stable),1000,1000,8,8000,skewed,false
Radix Sort (LSD),1000,1000,249,8000,skewed,false
Bucket Sort,1000,1000,312,8000,skewed,false
Flash Sort,1000,1000,230,8000,skewed,false
Spread Sort,1000,1000,250,4000,skewed,false
Counting Sort (Non-Stable),1000,1000,13,4004,concentrated,false
Counting Sort (Stable),1000,1000,7,8004,concentrated,false
Radix Sort (LSD),1000,1000,356,8000,concentrated,false
Bucket Sort,1000,1000,186,8000,concentrated,false
Flash Sort,1000,1000,216,8000,concentrated,false
Spread Sort,1000,1000,371,4000,concentrated,false
Counting Sort (Non-Stable),1000,5000,68,20004,uniform,false
Counting Sort (Stable),1000,5000,33,24004,uniform,false
Radix Sort (LSD),1000,5000,364,8000,uniform,false
Bucket Sort,1000,5000,282,8000,uniform,false
Flash Sort,1000,5000,235,8000,uniform,false
Spread Sort,1000,5000,384,4000,uniform,false
Counting Sort (Non-Stable),1000,5000,44,19420,normal,false
Counting Sort (Stable),1000,5000,21,23420,normal,false
Radix Sort (LSD),1000,5000,359,8000,normal,false
Bucket Sort,1000,5000,294,8000,normal,false
Flash Sort,1000,5000,230,8000,normal,false
Spread Sort,1000,5000,371,4000,normal,false
Counting Sort (Non-Stable),1000,5000,52,20000,skewed,false
Counting Sort (Stable),1000,5000,29,24000,skewed,false
Radix Sort (LSD),1000,5000,500,8000,skewed,false
Bucket Sort,1000,5000,327,8000,skewed,false
Flash Sort,1000,5000,229,8000,skewed,false
Spread Sort,1000,5000,379,4000,skewed,false
Counting Sort (Non-Stable),1000,5000,41,20004,concentrated,false
Counting Sort (Stable),1000,5000,20,24004,concentrated,false
Radix Sort (LSD),1000,5000,366,8000,concentrated,false
Bucket Sort,1000,5000,282,8000,concentrated,false
Flash Sort,1000,5000,247,8000,concentrated,false
Spread Sort,1000,5000,365,4000,concentrated,false
Counting Sort (Non-Stable),1000,10000,101,40000,uniform,false
Counting Sort (Stable),1000,10000,75,44000,uniform,false
Radix Sort (LSD),1000,10000,367,8000,uniform,false
Bucket Sort,1000,10000,307,8000,uniform,false
Flash Sort,1000,10000,234,8000,uniform,false
Spread Sort,1000,10000,391,4000,uniform,false
Counting Sort (Non-Stable),1000,10000,96,40004,normal,false
Counting Sort (Stable),1000,10000,73,44004,normal,false
Radix Sort (LSD),1000,10000,478,8000,normal,false
Bucket Sort,1000,10000,264,8000,normal,false
Flash Sort,1000,10000,195,8000,normal,false
Spread Sort,1000,10000,97,4000,normal,false
Counting Sort (Non-Stable),1000,10000,62,39688,skewed,false
Counting Sort (Stable),1000,10000,28,43688,skewed,false
Radix Sort (LSD),1000,10000,283,8000,skewed,false
Bucket Sort,1000,10000,256,8000,skewed,false
Flash Sort,1000,10000,182,8000,skewed,false
Spread Sort,1000,10000,313,4000,skewed,false
Counting Sort (Non-Stable),1000,10000,60,40004,concentrated,false
Counting Sort (Stable),1000,10000,32,44004,concentrated,false
Radix Sort (LSD),1000,10000,381,8000,concentrated,false
Bucket Sort,1000,10000,250,8000,concentrated,false
Flash Sort,1000,10000,183,8000,concentrated,false
Spread Sort,1000,10000,93,4000,concentrated,false
Counting Sort (Non-Stable),1000,100000,343,397880,uniform,false
Counting Sort (Stable),1000,100000,174,401880,uniform,false
Radix Sort (LSD),1000,100000,384,8000,uniform,false
Bucket Sort,1000,100000,257,8000,uniform,false
Flash Sort,1000,100000,181,8000,uniform,false
Spread Sort,1000,100000,93,4000,uniform,false
Counting Sort (Non-Stable),1000,100000,347,400004,normal,false
